Account,Date,TimeOpened,TimeClosed,TradeType,StopType,StopMultiple,PriceOpen,PriceClose,PriceStopTarget,TotalPremium,Qty,Commission,ProfitLoss,Status,ShortPut,LongPut,ShortCall,LongCall,BuyingPower,StopMultipleResult,Slippage,StopTrigger,PutDelta,CallDelta,Template,Strategy,PriceLong,PriceShort,OpenDate,OpenTime,CloseDate,CloseTime,TradeID,ParentTradeID,ContractCount
IB:U14981614,2/4/2026,12:04 PM,4:01 PM,CallSpread,Short,1,1.75,0,3.5,175,1,1.64125,173.35875,Expired,,,6935,7020,8325,1,0,Double Bid,,0.0992795091992239,EMA-V Calls,EMA-VWAP,0,1.75,2026-02-04,12:04:48,2026-02-04,16:01:12,15052,0,2
IB:U14981614,2/4/2026,12:13 PM,4:01 PM,CallSpread,Short,1,1.5,0,3,150,1,1.64125,148.35875,Expired,,,6935,7020,8350,1,0,Double Bid,,0.0700884374263299,EMA-V Calls,EMA-VWAP,0,1.5,2026-02-04,12:13:34,2026-02-04,16:01:19,15055,0,2
IB:U14981614,2/4/2026,12:22 PM,2:48 PM,CallSpread,Short,1,1.45,-2.95,2.9,145,1,4.93375,-154.93375,Stopped,,,6925,7005,7855,-1.03448275862069,0.05,Double Bid,,0.101655072087631,EMA-V Calls,EMA-VWAP,0.05,1.5,2026-02-04,12:22:46,2026-02-04,14:48:49,15056,0,2
IB:U14981614,2/4/2026,12:31 PM,2:48 PM,CallSpread,Short,1,1.7,-4.2,3.4,170,1,4.83375,-254.83375,Stopped,,,6915,7005,8830,-1.47058823529412,0.8,Double Bid,,0.0933229204404735,EMA-V Calls,EMA-VWAP,0.05,1.75,2026-02-04,12:31:44,2026-02-04,14:48:20,15059,0,2
IB:U14981614,2/4/2026,12:40 PM,2:43 PM,CallSpread,Short,1,1.85,-3.9,3.7,185,1,5.13375,-210.13375,Stopped,,,6905,6995,8815,-1.10810810810811,0.2,Double Bid,,0.0993219317545166,EMA-V Calls,EMA-VWAP,0.05,1.9,2026-02-04,12:40:43,2026-02-04,14:43:51,15064,0,2
IB:U14981614,2/4/2026,12:49 PM,2:42 PM,CallSpread,Short,1,1.45,-2.95,2.9,145,1,4.83375,-154.83375,Stopped,,,6905,7005,9855,-1.03448275862069,0.05,Double Bid,,0.0973266031129814,EMA-V Calls,EMA-VWAP,0.07,1.52,2026-02-04,12:49:19,2026-02-04,14:42:27,15073,0,2
IB:U14981614,2/4/2026,12:58 PM,2:46 PM,CallSpread,Short,1,1.45,-3,2.9,145,1,5.03375,-160.03375,Stopped,,,6910,7010,9855,-1.06896551724138,0.1,Double Bid,,0.0894451968681998,EMA-V Calls,EMA-VWAP,0.05,1.5,2026-02-04,12:58:05,2026-02-04,14:46:21,15077,0,2
IB:U14981614,2/4/2026,1:07 PM,2:43 PM,CallSpread,Short,1,1.8,-3.7,3.6,180,1,5.03375,-195.03375,Stopped,,,6905,7005,9820,-1.05555555555556,0.1,Double Bid,,0.101662223158205,EMA-V Calls,EMA-VWAP,0.07,1.87,2026-02-04,13:07:13,2026-02-04,14:43:23,15078,0,2
IB:U14981614,2/4/2026,1:16 PM,1:26 PM,CallSpread,Short,1,1.85,-3.75,3.7,185,1,6.5850,-196.585,Stopped,,,6895,6995,9815,-1.02702702702703,0.10,Double Bid,,0.132946393850191,EMA-V Calls,EMA-VWAP,0.07,1.92,2026-02-04,13:16:07,2026-02-04,13:26:37,15081,0,2
IB:U14981614,2/4/2026,1:25 PM,2:34 PM,CallSpread,Short,1,1.8,-3.7,3.6,180,1,5.13375,-195.13375,Stopped,,,6900,7000,9820,-1.05555555555556,0.1,Double Bid,,0.100760976332685,EMA-V Calls,EMA-VWAP,0.05,1.85,2026-02-04,13:25:03,2026-02-04,14:34:16,15082,0,2
IB:U14981614,2/4/2026,2:55 PM,4:02 PM,PutSpread,Short,1,1.65,0,3.3,165,1,3.1925,161.8075,Expired,6870,6800,,,6835,1,0,Double Bid,-0.096155363607292,,EMA-V Puts,EMA-VWAP,0.03,1.68,2026-02-04,14:55:02,2026-02-04,16:02:00,15090,0,2
IB:U14981614,2/4/2026,3:04 PM,3:12 PM,PutSpread,Short,1,1.5,-2.95,3,150,1,6.4850,-151.485,Stopped,6875,6810,,,6350,-0.966666666666667,0.00,Double Bid,-0.174378441565233,,EMA-V Puts,EMA-VWAP,0.03,1.53,2026-02-04,15:04:01,2026-02-04,15:12:37,15091,0,2
IB:U14981614,2/4/2026,3:22 PM,4:02 PM,PutSpread,Short,1,1.3,0,2.6,130,1,1.64125,128.35875,Expired,6875,6805,,,6870,1,0,Double Bid,-0.140119210256631,,EMA-V Puts,EMA-VWAP,0,1.3,2026-02-04,15:22:01,2026-02-04,16:02:20,15104,0,2
IB:U14981614,2/4/2026,3:31 PM,3:56 PM,PutSpread,Short,1,1.3,-2.75,2.6,130,1,3.28250,-148.2825,Stopped,6880,6805,,,7370,-1.11538461538462,0.15,Double Bid,-0.124266504819974,,EMA-V Puts,EMA-VWAP,0,1.3,2026-02-04,15:31:01,2026-02-04,15:56:31,15107,0,2
IB:U14981614,2/4/2026,3:40 PM,3:53 PM,PutSpread,Short,1,1.25,-2.8,2.5,125,1,4.83375,-159.83375,Stopped,6890,6860,,,2875,-1.24,0.3,Double Bid,-0.15756105676726,,EMA-V Puts,EMA-VWAP,0.03,1.28,2026-02-04,15:40:08,2026-02-04,15:53:52,15108,0,2
IB:U14981614,2/4/2026,3:49 PM,3:51 PM,PutSpread,Short,1,1.4,-3.1,2.8,140,1,4.83375,-174.83375,Stopped,6895,6865,,,2860,-1.21428571428571,0.3,Double Bid,-0.218697121129291,,EMA-V Puts,EMA-VWAP,0.03,1.43,2026-02-04,15:49:01,2026-02-04,15:51:11,15109,0,2
IB:U14981614,2/5/2026,10:07 AM,4:00 PM,CallSpread,Short,1,1.8,0,3.6,180,1,3.1925,176.8075,Expired,,,6910,7010,9820,1,0,Double Bid,,0.0749529795064961,EMA-V Calls,EMA-VWAP,0.07,1.87,2026-02-05,10:07:03,2026-02-05,16:00:24,15115,0,2
IB:U14981614,2/5/2026,10:16 AM,4:00 PM,CallSpread,Short,1,1.85,0,3.7,185,1,3.1925,181.8075,Expired,,,6905,7005,9815,1,0,Double Bid,,0.0522821187970444,EMA-V Calls,EMA-VWAP,0.1,1.95,2026-02-05,10:16:09,2026-02-05,16:00:31,15117,0,2
